"","window_size","variable","X10.","X90."
"403",5500,"MULE_left",0,0
"404",5500,"MULE_intra",0,0
"405",5500,"MULE_right",0,0.00509090909090909
"406",5500,"Gypsy_left",0,0.131672727272728
"407",5500,"Gypsy_intra",0,0
"408",5500,"Gypsy_right",0,0.134272727272727
"409",5500,"Unknown_fam_left",0,0.0536363636363636
"410",5500,"Unknown_fam_intra",0,0.00126508607759052
"411",5500,"Unknown_fam_right",0,0.055
"412",5500,"CMC_EnSpm_left",0,0
"413",5500,"CMC_EnSpm_intra",0,0
"414",5500,"CMC_EnSpm_right",0,0
"415",5500,"Copia_left",0,0.0367272727272727
"416",5500,"Copia_intra",0,0
"417",5500,"Copia_right",0,0.0368181818181818
"418",5500,"LINE_fam_left",0,0
"419",5500,"LINE_fam_intra",0,0
"420",5500,"LINE_fam_right",0,0
"421",5500,"hAT_left",0,0.00503636363636443
"422",5500,"hAT_intra",0,0
"423",5500,"hAT_right",0,0.00572727272727273
"424",5500,"PIF_Harbinger_left",0,0
"425",5500,"PIF_Harbinger_intra",0,0
"426",5500,"PIF_Harbinger_right",0,0
"427",5500,"LTRUnknown_left",0,0.186772727272727
"428",5500,"LTRUnknown_intra",0,0.00571645117526256
"429",5500,"LTRUnknown_right",0,0.186545454545455
"430",6000,"DNA_left",0,0.0790833333333333
"431",6000,"DNA_intra",0,0.00121392289657025
"432",6000,"DNA_right",0,0.0803333333333333
"433",6000,"LTR_left",0,0.33675
"434",6000,"LTR_intra",0,0.0592219807571076
"435",6000,"LTR_right",0,0.338333333333333
"436",6000,"Unknown_left",0,0.03625
"437",6000,"Unknown_intra",0,0
"438",6000,"Unknown_right",0,0.0360833333333333
"439",6000,"LINE_left",0,0.00483333333333333
"440",6000,"LINE_intra",0,0
"441",6000,"LINE_right",0,0.00316666666666667
"442",6000,"MULE_left",0,0.00733333333333333
"443",6000,"MULE_intra",0,0
"444",6000,"MULE_right",0,0.00841666666666667
"445",6000,"Gypsy_left",0,0.1345
"446",6000,"Gypsy_intra",0,0
"447",6000,"Gypsy_right",0,0.13675
"448",6000,"Unknown_fam_left",0,0.0529166666666667
"449",6000,"Unknown_fam_intra",0,0.00126508607759052
"450",6000,"Unknown_fam_right",0,0.0536666666666667
"451",6000,"CMC_EnSpm_left",0,0
"452",6000,"CMC_EnSpm_intra",0,0
"453",6000,"CMC_EnSpm_right",0,0
"454",6000,"Copia_left",0,0.0355
"455",6000,"Copia_intra",0,0
"456",6000,"Copia_right",0,0.03575
"457",6000,"LINE_fam_left",0,0.00483333333333333
"458",6000,"LINE_fam_intra",0,0
"459",6000,"LINE_fam_right",0,0.00316666666666667
"460",6000,"hAT_left",0,0.00816666666666667
"461",6000,"hAT_intra",0,0
"462",6000,"hAT_right",0,0.00841666666666667
"463",6000,"PIF_Harbinger_left",0,0
"464",6000,"PIF_Harbinger_intra",0,0
"465",6000,"PIF_Harbinger_right",0,0
"466",6000,"LTRUnknown_left",0,0.188083333333333
"467",6000,"LTRUnknown_intra",0,0.00571645117526256
"468",6000,"LTRUnknown_right",0,0.18875
"469",6500,"DNA_left",0,0.0777692307692308
"470",6500,"DNA_intra",0,0.00121392289657025
"471",6500,"DNA_right",0,0.0791538461538462
"472",6500,"LTR_left",0,0.336230769230769
"473",6500,"LTR_intra",0,0.0592219807571076
"474",6500,"LTR_right",0,0.338384615384615
"475",6500,"Unknown_left",0,0.0356153846153846
"476",6500,"Unknown_intra",0,0
"477",6500,"Unknown_right",0,0.0357692307692308
"478",6500,"LINE_left",0,0.00723076923076923
"479",6500,"LINE_intra",0,0
"480",6500,"LINE_right",0,0.00692307692307692
"481",6500,"MULE_left",0,0.00938461538461539
"482",6500,"MULE_intra",0,0
"483",6500,"MULE_right",0,0.00992307692307692
"484",6500,"Gypsy_left",0,0.136307692307692
"485",6500,"Gypsy_intra",0,0
"486",6500,"Gypsy_right",0,0.138923076923077
"487",6500,"Unknown_fam_left",0,0.0518461538461538
"488",6500,"Unknown_fam_intra",0,0.00126508607759052
"489",6500,"Unknown_fam_right",0,0.0525384615384615
"490",6500,"CMC_EnSpm_left",0,0
"491",6500,"CMC_EnSpm_intra",0,0
